location,Bogotá,Bogotá,Bogotá,Bogotá
lat,4.65067,4.65067,4.65067,4.65067
lon,-74.11948,-74.11948,-74.11948,-74.11948
asl,2485.715,2485.715,2485.715,2485.715
variable,Temperature,Relative Humidity,Wind Speed,Wind Direction
unit,°C,%,km/h,°
level,2 m elevation corrected,2 m,10 m,10 m
resolution,hourly,hourly,hourly,hourly
aggregation,None,None,None,None
timestamp,Bogotá Temperature [2 m elevation corrected],Bogotá Relative Humidity [2 m],Bogotá Wind Speed [10 m],Bogotá Wind Direction [10 m]
20201225T1500,15.574147,70.0,12.605142,271.6366
20201225T1600,15.194146,70.0,13.679999,270.0
20201225T1700,14.224147,77.0,13.324863,268.45184
20201225T1800,13.274146,80.0,10.1376915,263.8845
20201225T1900,12.364146,84.0,6.8399997,270.0
20201225T2000,11.844147,87.0,3.7585104,286.69925
20201225T2100,11.434147,88.0,1.8,306.8699
20201225T2200,11.144147,88.0,1.4399999,360.0
20201225T2300,10.924147,88.0,1.835647,11.309921
20201226T0000,10.874146,87.0,2.6208394,15.945404
20201226T0100,10.684147,88.0,3.5455887,23.962494
20201226T0200,10.424147,88.0,3.7064266,29.05458
20201226T0300,10.174147,89.0,4.198285,30.963745
20201226T0400,9.884147,88.0,4.8965297,36.027374
20201226T0500,9.484146,89.0,5.3517847,42.27368
20201226T0600,9.144147,88.0,5.6002855,44.999985
20201226T0700,9.884147,89.0,3.8773184,21.801407
20201226T0800,11.004147,85.0,5.154415,335.22485
20201226T0900,12.484146,79.0,7.7879906,303.69006
20201226T1000,14.494146,72.0,11.726277,287.8787
20201226T1100,14.974147,70.0,14.759999,282.6804
20201226T1200,15.454146,71.0,18.089775,275.7106
20201226T1300,14.564146,76.0,18.0036,268.85425
20201226T1400,14.914146,73.0,16.215992,267.4552
20201226T1500,14.5841465,75.0,15.905319,264.80557
20201226T1600,13.934147,81.0,15.546833,264.68546
20201226T1700,13.394147,85.0,14.154915,262.69424
20201226T1800,12.574146,89.0,11.304229,260.83765
20201226T1900,11.994146,91.0,7.9932976,262.23483
20201226T2000,11.574146,90.0,5.0911684,261.8699
20201226T2100,11.464147,85.0,3.2599385,276.34018
20201226T2200,11.004147,85.0,2.5455842,315.0
20201226T2300,10.614146,89.0,2.52,360.0
20201227T0000,10.124146,93.0,3.219938,26.565033
20201227T0100,9.644147,96.0,3.7064266,29.05458
20201227T0200,9.284146,96.0,4.39436,34.99202
20201227T0300,8.724147,97.0,4.8433046,41.987198
20201227T0400,8.264147,93.0,5.3517847,47.726303
20201227T0500,7.7441463,93.0,5.8603754,47.489548
20201227T0600,7.2941465,93.0,6.1094027,44.999985
20201227T0700,9.544147,86.0,3.7585104,16.69925
20201227T0800,11.054147,78.0,4.198285,329.03625
20201227T0900,12.934147,70.0,8.287822,304.38034
20201227T1000,14.784146,63.0,12.074766,296.56506
20201227T1100,16.344147,60.0,15.509274,291.8014
