Fecha,ora,Potencia [kW],Insolación [W/m²],Temperatura de modulos [°C],Temperatura ambiente [°C]
03/04/2020,08:10:00 AM,3.29,58.83,16.21,14.14656364
03/04/2020,08:15:00 AM,3.92,70.11,15.72,14.41880682
03/04/2020,08:20:00 AM,4.03,72.61,15.7,14.45705909
03/04/2020,08:25:00 AM,5.66,99.15,16.13,14.17172273
03/04/2020,08:30:00 AM,6.05,103.83,16.78,14.184075
03/04/2020,08:35:00 AM,8.22,137.28,17.63,14.19768409
03/04/2020,08:40:00 AM,8.98,148.99,18.77,14.50058182
03/04/2020,08:45:00 AM,9.8,159.02,19.79,14.83406364
03/04/2020,08:50:00 AM,7.88,128.29,20.05,15.23337273
03/04/2020,08:55:00 AM,10.8,173.14,20.58,15.36398409
03/04/2020,09:00:00 AM,12.49,187.38,22.32,15.75955682
03/04/2020,09:05:00 AM,10.85,163.08,22.93,16.34172273
03/04/2020,09:10:00 AM,13.86,214.47,24.08,16.80702955
03/04/2020,09:15:00 AM,14.88,222.69,24.97,17.35394318
03/04/2020,09:20:00 AM,21.79,346.02,25.59,17.73713864
03/04/2020,09:25:00 AM,24.19,363.79,29.58,18.14145909
03/04/2020,09:30:00 AM,16.37,253.47,27.81,18.40415682
03/04/2020,09:35:00 AM,19,285.04,28.31,18.41995682
03/04/2020,09:40:00 AM,15.25,224.68,27.94,18.37303182
03/04/2020,09:45:00 AM,14.68,217.67,27.17,18.27586136
03/04/2020,09:50:00 AM,15.01,223.37,26.66,18.80527273
03/04/2020,09:55:00 AM,15.86,235.39,26.77,19.11813409
03/04/2020,10:00:00 AM,19.6,290.04,27.23,19.05790682
03/04/2020,10:05:00 AM,22.32,342.66,27.73,18.60834091
03/04/2020,10:10:00 AM,32.6,518.04,33.5,19.12273182
03/04/2020,10:15:00 AM,26.08,415.45,33.67,19.77707955
03/04/2020,10:20:00 AM,32.1,524.36,38.24,19.97588409
03/04/2020,10:25:00 AM,32.1,550.47,36.8,20.52335227
03/04/2020,10:30:00 AM,49.91,835.97,41.27,20.508575
03/04/2020,10:35:00 AM,37.58,613.04,46.22,19.62721818
03/04/2020,10:40:00 AM,20.02,302.66,37.13,21.14403636
03/04/2020,10:45:00 AM,27.35,420.39,35.25,21.82493182
03/04/2020,10:50:00 AM,18.94,281.17,34.28,20.82958409
03/04/2020,10:55:00 AM,27.98,452.58,32.35,20.67922955
03/04/2020,11:00:00 AM,64.94,1112.35,43.05,21.57507727
03/04/2020,11:05:00 AM,24.96,392.04,46.09,21.28801591
03/04/2020,11:10:00 AM,25.13,372.07,39.75,21.08838864
03/04/2020,11:15:00 AM,62.33,1058.17,44.64,21.93078636
03/04/2020,11:20:00 AM,66.82,1150.59,54.65,21.58346364
03/04/2020,11:25:00 AM,61.46,1104.76,59.86,22.95865682
03/04/2020,11:30:00 AM,64.07,1147.43,60.43,24.58806818
03/04/2020,11:35:00 AM,66.18,1180.38,63.46,23.66436818
03/04/2020,11:40:00 AM,48.95,830.04,57.83,23.53713182
03/04/2020,11:45:00 AM,53.93,910.11,50.9,24.15157727
03/04/2020,11:50:00 AM,19.86,307.13,42.75,24.21053409
03/04/2020,11:55:00 AM,30.7,469.78,40.09,23.53309545
03/04/2020,12:00:00 PM,32.53,489.6,39.1,23.436225
03/04/2020,12:05:00 PM,23.29,371.75,38.34,23.42371591
03/04/2020,12:10:00 PM,38.47,636.05,37.68,22.57080455
03/04/2020,12:15:00 PM,50.65,850.02,45.53,24.04402955
03/04/2020,12:20:00 PM,65.03,1062.97,51.05,23.369725
03/04/2020,12:25:00 PM,60.56,1001.14,54.61,22.83655
03/04/2020,12:30:00 PM,47.72,786.46,50.52,23.54955909
03/04/2020,12:35:00 PM,63.62,1058.41,55.87,23.42985909
03/04/2020,12:40:00 PM,23.51,359.48,49.21,23.94590909
03/04/2020,12:45:00 PM,41.84,665.51,46.98,24.5826
03/04/2020,12:50:00 PM,58.18,919.47,48.84,24.47305455
03/04/2020,12:55:00 PM,43.43,670.12,52.81,24.761675
03/04/2020,01:00:00 PM,40.25,598.11,44.38,24.20936364
03/04/2020,01:05:00 PM,47.38,742.31,46.81,25.00371364
03/04/2020,01:10:00 PM,38.84,639.14,45.68,23.13429091
03/04/2020,01:15:00 PM,50.62,808.97,41.59,22.73998182
03/04/2020,01:20:00 PM,33.24,562.53,43.53,22.08885682
03/04/2020,01:25:00 PM,50.32,775.55,44.09,21.35985682
03/04/2020,01:30:00 PM,17.76,264.63,38.81,21.01514091
03/04/2020,01:35:00 PM,35.03,539.9,34.51,21.32935227
03/04/2020,01:40:00 PM,29.03,429.43,34.97,21.35789545
03/04/2020,01:45:00 PM,59.98,938.62,42.3,23.13093182
03/04/2020,01:50:00 PM,51.84,795.32,48.86,23.80160682
03/04/2020,01:55:00 PM,56.46,857.86,49.03,24.62031364
03/04/2020,02:00:00 PM,49.78,777.5,51.41,24.18662273
03/04/2020,02:05:00 PM,48.79,718.71,48.58,24.86617955
03/04/2020,02:10:00 PM,51.41,284.25,44.04,25.06818864
03/04/2020,02:15:00 PM,49.66,67.84,34.83,26.200325
03/04/2020,02:20:00 PM,49.26,83.68,30.61,26.28122045
03/04/2020,02:25:00 PM,40.78,91.11,28.4,26.48671136
03/04/2020,02:30:00 PM,26.9,100.05,27.69,26.10955455
03/04/2020,02:35:00 PM,47.72,132.75,27.55,25.73719545
03/04/2020,02:40:00 PM,29.36,98.82,27.46,24.44055
03/04/2020,02:45:00 PM,6.38,75.94,26.37,23.31986818
03/04/2020,02:50:00 PM,10.85,61.54,25.41,22.74026591
03/04/2020,02:55:00 PM,36.11,60.23,23.95,22.33255909
03/04/2020,03:00:00 PM,39.14,77.97,23.66,21.95244545
03/04/2020,03:05:00 PM,39.11,95.73,23.65,21.64603864
03/04/2020,03:10:00 PM,37.28,122.84,24.29,21.28445
03/04/2020,03:15:00 PM,35.76,66.93,23.69,20.95312045
03/04/2020,03:20:00 PM,16.76,64.18,23.04,20.702875
03/04/2020,03:25:00 PM,32.34,66.55,22.42,20.59882955
03/04/2020,03:30:00 PM,27.49,77.38,22.38,20.48051364
03/04/2020,03:35:00 PM,25.73,71.05,22.58,20.34344773
03/04/2020,03:40:00 PM,23.21,72.39,22.61,20.22137727
03/04/2020,03:45:00 PM,6.43,60.7,22.63,20.07784091
03/04/2020,03:50:00 PM,5.22,54.83,22.63,19.9526
03/04/2020,03:55:00 PM,4.86,53.4,21.56,19.83558636
03/04/2020,04:00:00 PM,5.74,67.66,21.23,19.77004545
03/04/2020,04:05:00 PM,7.57,78.31,21.5,19.69061818
03/04/2020,04:10:00 PM,11.52,57.05,21.79,19.61802045
03/04/2020,04:15:00 PM,3.95,51.8,21.26,19.56930682
03/04/2020,04:20:00 PM,9.86,66.77,21.14,19.52208182
03/04/2020,04:25:00 PM,14.46,66.64,21.31,19.50727273
03/04/2020,04:30:00 PM,15.61,73.01,21.77,19.50096136
03/04/2020,04:35:00 PM,14.14,74.5,21.88,19.48678636
03/04/2020,04:40:00 PM,11.75,64.88,22.23,19.37909773
03/04/2020,04:45:00 PM,9.13,48.66,21.91,19.32346591
03/04/2020,04:50:00 PM,8.11,46.72,21.18,19.33189773
03/04/2020,04:55:00 PM,8.59,63.95,21.04,19.3391
03/04/2020,05:00:00 PM,8.16,62.8,20.84,19.33738409
03/04/2020,05:05:00 PM,6.8,51.96,20.44,19.31254773
03/04/2020,05:10:00 PM,6.56,47.86,20.52,19.18075909
03/04/2020,05:15:00 PM,6,50.07,20.69,18.97112955
03/04/2020,05:20:00 PM,5.34,48.51,20.8,18.77023864
03/04/2020,05:25:00 PM,3.88,36.36,20.56,18.59548636
03/04/2020,05:30:00 PM,2.4,25.06,20,18.40418636
03/04/2020,05:35:00 PM,1.16,16.87,19.22,18.18612955
03/04/2020,05:40:00 PM,0.71,13.15,18.45,17.92545227
03/04/2020,05:45:00 PM,0.58,12.56,17.86,17.63691136
03/04/2020,05:50:00 PM,0.58,12.02,17.43,17.31511136
03/04/2020,05:55:00 PM,0.44,11.24,17.06,16.97300682
03/04/2020,06:00:00 PM,0.17,7.61,16.6,16.63303636
03/04/2020,06:05:00 PM,0.06,5.32,16.27,16.31622955
03/04/2020,06:10:00 PM,0,3.73,16.01,16.04022045
03/04/2020,06:15:00 PM,0,2.35,15.76,15.80243864
03/04/2020,06:20:00 PM,0,1.38,15.66,15.58760682
03/04/2020,06:25:00 PM,0,1.05,15.48,15.39868182
03/04/2020,06:30:00 PM,0,1.02,15.22,15.23721364
03/04/2020,06:35:00 PM,x,1.03,15.02,15.09807045
03/04/2020,06:40:00 PM,x,1.04,14.87,14.97150227
03/04/2020,06:45:00 PM,x,1.04,14.71,14.85722045
03/04/2020,06:50:00 PM,x,1.03,14.65,14.74643636
03/04/2020,06:55:00 PM,x,1.03,14.61,14.64558636
03/04/2020,07:00:00 PM,x,1.03,14.6,14.557375
