Fecha,ora,Potencia [kW],Insolación [W/m²],Temperatura de modulos [°C],Temperatura ambiente [°C]
03/05/2020,10:55:00 AM,60.01,1028.49,59.04,23.86507955
03/05/2020,11:00:00 AM,60.6,1038.21,60.1,24.22459091
03/05/2020,11:05:00 AM,60.91,1045.21,58.72,24.70487045
03/05/2020,11:10:00 AM,61.58,1053.85,55.47,24.98540455
03/05/2020,11:15:00 AM,61.66,1053.91,57.4,25.41042955
03/05/2020,11:20:00 AM,61.07,1048.06,58.22,26.46973409
03/05/2020,11:25:00 AM,61.2,1054.19,60.31,26.65470455
03/05/2020,11:30:00 AM,60.08,1045.7,61.15,26.18001591
03/05/2020,11:35:00 AM,61.61,1061.25,61.89,26.77752045
03/05/2020,11:40:00 AM,55.04,968.87,60.88,26.55598864
03/05/2020,11:45:00 AM,34.26,562.35,54.19,26.80759318
03/05/2020,11:50:00 AM,45.65,766.5,52.56,26.90897955
03/05/2020,11:55:00 AM,54.08,924.72,51.19,27.48370909
03/05/2020,12:00:00 PM,39.62,658.67,52.73,27.16252955
03/05/2020,12:05:00 PM,57.79,996.83,51.18,26.71982273
03/05/2020,12:10:00 PM,55.91,954.29,56.93,25.937475
03/05/2020,12:15:00 PM,51.14,846.36,52.78,24.57519091
03/05/2020,12:20:00 PM,34.99,649.82,53.49,24.37525909
03/05/2020,12:25:00 PM,52.19,895.33,52.73,25.23774773
03/05/2020,12:30:00 PM,57.72,992.32,54.78,23.72560909
03/05/2020,12:35:00 PM,63.23,1046.28,54.79,23.50884318
03/05/2020,12:40:00 PM,62.3,1042.2,54.8,22.24839545
03/05/2020,12:45:00 PM,52.58,919.4,55.33,22.04497727
03/05/2020,12:50:00 PM,27.95,451.57,45.3,20.22796136
03/05/2020,12:55:00 PM,63.96,1021.24,47.88,19.45112045
03/05/2020,01:00:00 PM,53.57,859.12,44.32,19.17885682
03/05/2020,01:05:00 PM,62.7,1019.98,45.2,19.02341136
03/05/2020,01:10:00 PM,38.72,632.44,43.59,18.77525
03/05/2020,01:15:00 PM,62.35,984.81,44.39,18.12838409
03/05/2020,01:20:00 PM,61.39,977.03,46.84,16.85808409
03/05/2020,01:25:00 PM,56.93,955.24,50.58,16.94815455
03/05/2020,01:30:00 PM,59.41,951.2,49.99,17.43191591
03/05/2020,01:35:00 PM,58.84,945.27,48.92,19.32497955
03/05/2020,01:40:00 PM,56.56,911.57,47.96,19.19374091
03/05/2020,01:45:00 PM,54.53,833.21,43.73,20.59796136
03/05/2020,01:50:00 PM,60.88,955.37,46.73,21.64047727
03/05/2020,01:55:00 PM,49.9,766.77,46.64,22.10940227
03/05/2020,02:00:00 PM,16.22,214.02,39.83,22.63865682
03/05/2020,02:05:00 PM,30.79,446.09,36.09,23.10458636
03/05/2020,02:10:00 PM,22.55,192.92,34.1,23.48145682
03/05/2020,02:15:00 PM,40.46,154.64,31.58,24.02536136
03/05/2020,02:20:00 PM,47.71,185.45,30.72,24.68809318
03/05/2020,02:25:00 PM,14.17,155.76,29.96,24.70446818
03/05/2020,02:30:00 PM,47.56,154.34,28.34,23.56510682
03/05/2020,02:35:00 PM,43.68,137.86,26.96,23.43262727
03/05/2020,02:40:00 PM,46.73,114.35,26.35,22.77835682
03/05/2020,02:45:00 PM,45.22,105.83,26.41,22.28095909
03/05/2020,02:50:00 PM,45.67,120.92,25.83,21.90863182
03/05/2020,02:55:00 PM,45.52,163.65,25.66,21.50806364
03/05/2020,03:00:00 PM,43.36,184.16,26.12,21.20801818
03/05/2020,03:05:00 PM,34.73,161.75,25.89,21.01579318
03/05/2020,03:10:00 PM,13.87,102.99,24.43,20.87993409
03/05/2020,03:15:00 PM,19.15,101.93,23.91,20.70136591
03/05/2020,03:20:00 PM,23.11,80.26,23.1,20.56853409
03/05/2020,03:25:00 PM,20.72,85.74,22.81,20.56502955
03/05/2020,03:30:00 PM,34.68,73.69,22.76,20.56470909
03/05/2020,03:35:00 PM,30.62,55.41,22.94,20.55079773
03/05/2020,03:40:00 PM,28.58,52.73,22.72,20.53688636
03/05/2020,03:45:00 PM,28.64,52.34,22.14,20.52315455
03/05/2020,03:50:00 PM,27.73,54.99,22.09,20.43468409
03/05/2020,03:55:00 PM,27.18,62.73,22.17,20.38165
03/05/2020,04:00:00 PM,11.38,68.92,22.72,20.33471818
03/05/2020,04:05:00 PM,6.85,62.16,22.95,20.22864318
03/05/2020,04:10:00 PM,5.23,54.27,22.21,20.10147045
03/05/2020,04:15:00 PM,16.87,84.05,22.25,19.98085
03/05/2020,04:20:00 PM,18.3,87.69,22.29,19.79120455
03/05/2020,04:25:00 PM,14.68,82.19,22.52,19.64028409
03/05/2020,04:30:00 PM,13.84,75.62,22.43,19.43054318
03/05/2020,04:35:00 PM,6.48,66.85,21.78,19.14854318
03/05/2020,04:40:00 PM,4.92,56.55,20.95,18.87990682
03/05/2020,04:45:00 PM,4.75,62.87,20.26,18.698425
03/05/2020,04:50:00 PM,3.47,44.58,19.92,18.54746818
03/05/2020,04:55:00 PM,2.26,29.14,19.12,18.37765
03/05/2020,05:00:00 PM,3.04,23.76,18.6,18.18881818
03/05/2020,05:05:00 PM,2.84,20.27,18.15,18.00568864
03/05/2020,05:10:00 PM,1.56,22.09,18.24,17.84854318
03/05/2020,05:15:00 PM,2.11,21.86,18.49,17.75056136
03/05/2020,05:20:00 PM,1.4,20.59,18.65,17.66054773
03/05/2020,05:25:00 PM,0.84,15.84,18.41,17.61401136
03/05/2020,05:30:00 PM,1.06,17.14,18.15,17.617075
03/05/2020,05:35:00 PM,1.7,21.43,18.08,17.65005
03/05/2020,05:40:00 PM,2.64,31.11,18.15,17.66990909
03/05/2020,05:45:00 PM,2.08,25.2,18.3,17.63331136
03/05/2020,05:50:00 PM,1.02,15.66,18.17,17.56955909
03/05/2020,05:55:00 PM,0.76,13.8,18.31,17.52627273
03/05/2020,06:00:00 PM,0.43,10.34,18.19,17.52920682
03/05/2020,06:05:00 PM,0.11,5.83,17.93,17.55581364
03/05/2020,06:10:00 PM,0,3.17,17.48,17.58368864
03/05/2020,06:15:00 PM,0,1.86,17.34,17.55592045
03/05/2020,06:20:00 PM,0,1.26,17.46,17.46999545
03/05/2020,06:25:00 PM,0,1.07,17.66,17.32315
03/05/2020,06:30:00 PM,0,1.04,17.71,17.14335455
03/05/2020,06:35:00 PM,x,1.06,17.48,16.94296136
03/05/2020,06:40:00 PM,x,1.06,17.21,16.76382955
03/05/2020,06:45:00 PM,x,1.05,16.75,16.593525
03/05/2020,06:50:00 PM,x,1.04,16.28,16.40965909
03/05/2020,06:55:00 PM,x,1.04,15.91,16.19159545
03/05/2020,07:00:00 PM,x,1.04,15.57,15.92344318
03/05/2020,07:05:00 PM,x,1.03,15.44,15.62628864
03/05/2020,07:10:00 PM,x,1.04,15.44,15.32367955
03/05/2020,07:15:00 PM,x,1.03,15.43,15.04467727
03/05/2020,07:20:00 PM,x,1.03,15.26,14.78928182
03/05/2020,07:25:00 PM,x,1.03,14.76,14.56479545
03/05/2020,07:30:00 PM,x,1.02,14.21,14.36667273
03/05/2020,07:35:00 PM,x,1.02,13.88,14.19852045
03/05/2020,07:40:00 PM,x,1.02,13.68,14.04218636
03/05/2020,07:45:00 PM,x,1.02,13.47,13.88673182
03/05/2020,07:50:00 PM,x,1.02,13.44,13.77764091
03/05/2020,07:55:00 PM,x,1.02,13.39,13.74127727
03/05/2020,08:00:00 PM,x,1.02,13.59,13.70033864
03/05/2020,08:05:00 PM,x,1.03,13.72,13.64124773
03/05/2020,08:10:00 PM,x,1.03,13.72,13.59033864
03/05/2020,08:15:00 PM,x,1.03,14.06,13.55127727
03/05/2020,08:20:00 PM,x,1.03,14.36,13.51400455
03/05/2020,08:25:00 PM,x,1.03,13.76,13.48127727
03/05/2020,08:30:00 PM,x,1.02,13.23,13.42491364
03/05/2020,08:35:00 PM,x,1.02,13.12,13.343125
03/05/2020,08:40:00 PM,x,1.01,13.04,13.25772955
03/05/2020,08:45:00 PM,x,1.02,13.03,13.13685
03/05/2020,08:50:00 PM,x,1.02,13.03,12.97960682
03/05/2020,08:55:00 PM,x,1.02,12.97,12.86418182
03/05/2020,09:00:00 PM,x,1.02,12.82,12.79054545
03/05/2020,09:05:00 PM,x,1.01,12.78,12.73327273
03/05/2020,09:10:00 PM,x,1.02,12.73,12.69960682
03/05/2020,09:15:00 PM,x,1.02,12.63,12.66960682
03/05/2020,09:20:00 PM,x,1.02,12.49,12.62960682
03/05/2020,09:25:00 PM,x,1.02,12.42,12.58869773
03/05/2020,09:30:00 PM,x,1.02,12.49,12.56506136
03/05/2020,09:35:00 PM,x,1.02,12.67,12.56230455
03/05/2020,09:40:00 PM,x,1.02,12.7,12.56685
03/05/2020,09:45:00 PM,x,1.02,12.59,12.56594091
03/05/2020,09:50:00 PM,x,1.02,12.52,12.55048636
03/05/2020,09:55:00 PM,x,1.02,12.56,12.51506136
03/05/2020,10:00:00 PM,x,1.02,12.75,12.45872727
03/05/2020,10:05:00 PM,x,1.02,12.78,12.37875682
03/05/2020,10:10:00 PM,x,1.02,12.62,12.28605909
03/05/2020,10:15:00 PM,x,1.02,12.32,12.20154318
03/05/2020,10:20:00 PM,x,1.01,12.03,12.1243
03/05/2020,10:25:00 PM,x,1.01,11.87,12.04432955
03/05/2020,10:30:00 PM,x,1.01,11.79,11.95981364
03/05/2020,10:35:00 PM,x,1.01,11.68,11.88529773
03/05/2020,10:40:00 PM,x,1.01,11.66,11.83169091
03/05/2020,10:45:00 PM,x,1.01,11.67,11.81081136
03/05/2020,10:50:00 PM,x,1.01,11.68,11.81262955
03/05/2020,10:55:00 PM,x,1.01,11.82,11.81172045
03/05/2020,11:00:00 PM,x,1.01,11.96,11.80172045
03/05/2020,11:05:00 PM,x,1.01,12.03,11.81535682
03/05/2020,11:10:00 PM,x,1.01,12.09,11.85172045
03/05/2020,11:15:00 PM,x,1.01,12.05,11.90262955
03/05/2020,11:20:00 PM,x,1.01,11.86,11.95626591
03/05/2020,11:25:00 PM,x,1.01,11.68,11.96538636
03/05/2020,11:30:00 PM,x,1.01,11.83,11.94993182
03/05/2020,11:35:00 PM,x,1.01,12.06,11.93177955
03/05/2020,11:40:00 PM,x,1.01,12.23,11.87271818
03/05/2020,11:45:00 PM,x,1.01,12.27,11.79820227
03/05/2020,11:50:00 PM,x,1,11.92,11.73098864
03/05/2020,11:55:00 PM,x,1.01,11.79,11.66922955
03/06/2020,12:00:00 AM,x,1,11.83,11.58110682
03/06/2020,12:05:00 AM,x,1,11.44,11.45025682
03/06/2020,12:10:00 AM,x,1,11.23,11.28846818
03/06/2020,12:15:00 AM,x,0.99,11.12,11.12216364
03/06/2020,12:20:00 AM,x,0.99,11,10.980375
03/06/2020,12:25:00 AM,x,0.99,10.86,10.84585909
03/06/2020,12:30:00 AM,x,0.99,10.62,10.70585909
03/06/2020,12:35:00 AM,x,1,10.45,10.60767727
03/06/2020,12:40:00 AM,x,0.99,10.44,10.53585909
03/06/2020,12:45:00 AM,x,0.99,10.36,10.46673864
03/06/2020,12:50:00 AM,x,1,10.31,10.40307273
03/06/2020,12:55:00 AM,x,1,10.29,10.34031591
03/06/2020,01:00:00 AM,x,1,10.36,10.28755909
03/06/2020,01:05:00 AM,x,1,10.44,10.24577045
03/06/2020,01:10:00 AM,x,1,10.36,10.21210455
03/06/2020,01:15:00 AM,x,1,10.3,10.19480227
03/06/2020,01:20:00 AM,x,1,10.17,10.17665
03/06/2020,01:25:00 AM,x,1,10.04,10.14483182
03/06/2020,01:30:00 AM,x,0.99,9.99,10.09213409
03/06/2020,01:35:00 AM,x,1,10.07,10.03489091
03/06/2020,01:40:00 AM,x,1,10.17,9.985829545
03/06/2020,01:45:00 AM,x,0.99,10.11,9.943131818
03/06/2020,01:50:00 AM,x,1,9.94,9.910434091
03/06/2020,01:55:00 AM,x,0.99,9.78,9.889554545
03/06/2020,02:00:00 AM,x,0.99,9.81,9.8741
03/06/2020,02:05:00 AM,x,0.99,9.82,9.846856818
03/06/2020,02:10:00 AM,x,0.99,9.83,9.802340909
03/06/2020,02:15:00 AM,x,0.99,9.81,9.745977273
03/06/2020,02:20:00 AM,x,0.99,9.81,9.700552273
03/06/2020,02:25:00 AM,x,0.99,9.82,9.667825
03/06/2020,02:30:00 AM,x,0.99,9.77,9.646915909
03/06/2020,02:35:00 AM,x,0.99,9.68,9.626915909
03/06/2020,02:40:00 AM,x,0.99,9.49,9.595097727
03/06/2020,02:45:00 AM,x,0.99,9.44,9.565097727
03/06/2020,02:50:00 AM,x,0.99,9.42,9.529643182
03/06/2020,02:55:00 AM,x,0.99,9.58,9.486006818
03/06/2020,03:00:00 AM,x,0.99,9.6,9.440552273
03/06/2020,03:05:00 AM,x,0.99,9.48,9.407825
03/06/2020,03:10:00 AM,x,0.99,9.48,9.396915909
03/06/2020,03:15:00 AM,x,0.99,9.42,9.402370455
03/06/2020,03:20:00 AM,x,0.99,9.34,9.411461364
03/06/2020,03:25:00 AM,x,0.99,9.27,9.395097727
03/06/2020,03:30:00 AM,x,0.99,9.32,9.372370455
03/06/2020,03:35:00 AM,x,0.99,9.37,9.371461364
03/06/2020,03:40:00 AM,x,0.99,9.5,9.368763636
03/06/2020,03:45:00 AM,x,0.99,9.52,9.360611364
03/06/2020,03:50:00 AM,x,0.99,9.4,9.326095455
03/06/2020,03:55:00 AM,x,0.99,9.35,9.296125
03/06/2020,04:00:00 AM,x,0.99,9.47,9.2607
03/06/2020,04:05:00 AM,x,0.98,9.45,9.214365909
03/06/2020,04:10:00 AM,x,0.98,9.33,9.145304545
03/06/2020,04:15:00 AM,x,0.98,8.96,9.067152273
03/06/2020,04:20:00 AM,x,0.98,8.94,9.021727273
03/06/2020,04:25:00 AM,x,0.98,8.93,8.971756818
03/06/2020,04:30:00 AM,x,0.98,8.86,8.926331818
03/06/2020,04:35:00 AM,x,0.98,8.74,8.859059091
03/06/2020,04:40:00 AM,x,0.98,8.66,8.76815
03/06/2020,04:45:00 AM,x,0.98,8.9,8.704513636
03/06/2020,04:50:00 AM,x,0.98,8.8,8.640877273
03/06/2020,04:55:00 AM,x,0.98,8.97,8.597240909
03/06/2020,05:00:00 AM,x,0.98,8.71,8.559059091
03/06/2020,05:05:00 AM,x,0.98,8.33,8.539968182
03/06/2020,05:10:00 AM,x,0.98,8.26,8.531786364
03/06/2020,05:15:00 AM,x,0.98,8.24,8.499059091
03/06/2020,05:20:00 AM,x,0.98,8.45,8.465422727
03/06/2020,05:25:00 AM,x,0.98,8.44,8.403575
03/06/2020,05:30:00 AM,x,0.98,8.53,8.354802273
03/06/2020,05:35:00 AM,x,0.98,8.57,8.360525
03/06/2020,05:40:00 AM,x,0.98,8.54,8.393427273
03/06/2020,05:45:00 AM,x,0.98,8.43,8.428411364
03/06/2020,05:50:00 AM,x,0.99,8.29,8.442311364
03/06/2020,05:55:00 AM,0,1.18,8.18,8.440863636
03/06/2020,06:00:00 AM,0,2.12,8.43,8.422575
03/06/2020,06:05:00 AM,0,3.69,8.71,8.41085
03/06/2020,06:10:00 AM,0.08,6.37,8.8,8.401213636
03/06/2020,06:15:00 AM,0.34,11.66,8.95,8.398977273
03/06/2020,06:20:00 AM,0.65,17.47,8.96,8.436843182
03/06/2020,06:25:00 AM,0.97,23.17,9.05,8.524893182
03/06/2020,06:30:00 AM,1.22,27.41,9.3,8.615468182
03/06/2020,06:35:00 AM,1.62,33.78,9.5,8.693259091
03/06/2020,06:40:00 AM,1.92,38.66,9.63,8.779645455
03/06/2020,06:45:00 AM,2.14,42.02,10.04,8.890795455
03/06/2020,06:50:00 AM,2.41,45.84,10.6,9.050209091
03/06/2020,06:55:00 AM,2.71,49.31,10.96,9.227436364
03/06/2020,07:00:00 AM,2.93,52.13,11.14,9.40805
03/06/2020,07:05:00 AM,3.37,58.67,11.45,9.608015909
03/06/2020,07:10:00 AM,4.13,70.04,12.07,9.858004545
03/06/2020,07:15:00 AM,4.8,80.13,12.75,10.15872273
03/06/2020,07:20:00 AM,5.86,94.57,13.32,10.5012
03/06/2020,07:25:00 AM,7.58,119.51,14.28,10.90247045
03/06/2020,07:30:00 AM,9.65,151.33,15.52,11.34925909
03/06/2020,07:35:00 AM,11.9,188.51,17.25,11.90096364
03/06/2020,07:40:00 AM,12.97,222.7,19.22,12.41291364
03/06/2020,07:45:00 AM,14.08,230.54,20.37,12.839625
03/06/2020,07:50:00 AM,14.34,232.88,21.34,13.24503182
03/06/2020,07:55:00 AM,14.05,230.14,21.84,13.62999091
03/06/2020,08:00:00 AM,12.26,197.17,22.02,13.97752273
03/06/2020,08:05:00 AM,11.05,173.38,21.06,14.25925455
03/06/2020,08:10:00 AM,10.46,160.32,20.05,14.44003864
03/06/2020,08:15:00 AM,10.39,156.74,19.8,14.58700909
03/06/2020,08:20:00 AM,10.72,159.37,19.81,14.68055455
03/06/2020,08:25:00 AM,11.35,167.55,19.87,14.72630455
03/06/2020,08:30:00 AM,12.07,177.77,20,14.64461591
03/06/2020,08:35:00 AM,12.77,187.05,20.05,14.59675455
03/06/2020,08:40:00 AM,13.34,194.95,20.83,14.59482273
03/06/2020,08:45:00 AM,13.97,203.68,21.42,14.64054091
03/06/2020,08:50:00 AM,14.72,214.04,21.82,14.73760909
03/06/2020,08:55:00 AM,15.62,227.28,22.1,14.93825
03/06/2020,09:00:00 AM,16.56,242.81,22.79,15.06205227
03/06/2020,09:05:00 AM,17.57,258.82,23.23,15.19211591
03/06/2020,09:10:00 AM,18.84,279.42,24.29,15.45310682
03/06/2020,09:15:00 AM,20.53,308.67,25.73,15.38692955
03/06/2020,09:20:00 AM,20.96,314.41,26.85,15.77035909
03/06/2020,09:25:00 AM,26.84,411.56,28.96,15.87500227
03/06/2020,09:30:00 AM,32.28,501.49,31.7,15.90701818
03/06/2020,09:35:00 AM,26.08,399.23,30.34,16.07195682
03/06/2020,09:40:00 AM,35.77,556.54,32.16,16.31152727
03/06/2020,09:45:00 AM,27.48,422.11,32.8,16.68216364
03/06/2020,09:50:00 AM,30.62,472.17,31.21,17.08533864
03/06/2020,09:55:00 AM,35.18,545.82,32.99,17.58985
03/06/2020,10:00:00 AM,31.37,479.61,32.22,17.73363182
03/06/2020,10:05:00 AM,30.89,474.95,33.28,17.67307955
03/06/2020,10:10:00 AM,32.65,505.07,36.19,17.88202727
03/06/2020,10:15:00 AM,28.91,448.72,35.65,17.75297273
03/06/2020,10:20:00 AM,28.21,433.11,35.21,17.803025
03/06/2020,10:25:00 AM,36.11,564.21,35.32,18.058675
03/06/2020,10:30:00 AM,40.39,636.34,37.38,18.2913
03/06/2020,10:35:00 AM,43.58,695.05,38.96,18.409875
03/06/2020,10:40:00 AM,42.71,677.79,39.69,18.38725455
03/06/2020,10:45:00 AM,49.56,796.46,42.3,18.23166136
03/06/2020,10:50:00 AM,45.46,727.6,41.71,17.70358182
03/06/2020,10:55:00 AM,43.67,696.26,41.82,17.516975
03/06/2020,11:00:00 AM,41.8,663.74,40.72,17.88212045
03/06/2020,11:05:00 AM,36.16,566.88,37.95,18.13595
03/06/2020,11:10:00 AM,38.88,613.69,39.3,18.28235
03/06/2020,11:15:00 AM,46.15,740.46,39.39,18.21499773
03/06/2020,11:20:00 AM,49.52,792.6,40.69,17.45697955
03/06/2020,11:25:00 AM,37.12,581.06,39.6,17.19419318
03/06/2020,11:30:00 AM,31.58,499.6,35.4,16.90641364
03/06/2020,11:35:00 AM,30.58,473.47,34.66,17.02593864
03/06/2020,11:40:00 AM,34.43,525.41,32.75,17.23530227
03/06/2020,11:45:00 AM,61.68,984.16,41.71,17.97418409
03/06/2020,11:50:00 AM,59.44,972.28,47.9,18.90042045
03/06/2020,11:55:00 AM,60.22,989.45,48.14,19.34553636
03/06/2020,12:00:00 PM,58.9,977.81,52.62,19.3809
03/06/2020,12:05:00 PM,59.47,989.29,53.81,19.50667727
03/06/2020,12:10:00 PM,60.46,1007.3,56.19,20.24128182
03/06/2020,12:15:00 PM,60.14,1003.72,57.74,21.70856136
03/06/2020,12:20:00 PM,58.87,973.79,57.26,22.66017955
03/06/2020,12:25:00 PM,60.46,982.4,51.48,23.92628182
03/06/2020,12:30:00 PM,60.74,988.13,52.77,24.72994545
03/06/2020,12:35:00 PM,60.98,997.39,56.17,24.55332045
03/06/2020,12:40:00 PM,59.4,971.85,57.45,24.60678409
03/06/2020,12:45:00 PM,58.97,964.04,58.1,24.63172273
03/06/2020,12:50:00 PM,54.59,880,58.51,25.03681136
03/06/2020,12:55:00 PM,53.11,828.57,56.61,26.22917727
03/06/2020,01:00:00 PM,60.78,955.84,50.78,27.95983182
03/06/2020,01:05:00 PM,55.66,849.82,51.66,28.12728864
03/06/2020,01:10:00 PM,59.4,952.51,56.35,27.99871364
03/06/2020,01:15:00 PM,55.12,863.76,58.14,27.57529545
03/06/2020,01:20:00 PM,50.42,774.83,57.85,26.69163636
03/06/2020,01:25:00 PM,21.44,306.37,49.65,26.18207955
03/06/2020,01:30:00 PM,31.48,469.02,40.84,26.79030909
03/06/2020,01:35:00 PM,26.89,399.06,37.42,27.63610455
03/06/2020,01:40:00 PM,38.62,582.12,41.03,28.48847727
03/06/2020,01:45:00 PM,44.06,651.7,41.37,28.38452727
03/06/2020,01:50:00 PM,49.92,748.42,48.4,27.8057
03/06/2020,01:55:00 PM,52.97,785.67,51.94,26.39334091
03/06/2020,02:00:00 PM,34.97,486.32,49.15,26.30598182
03/06/2020,02:05:00 PM,14.57,204.63,41.42,26.40331364
03/06/2020,02:10:00 PM,13.39,190.02,35.1,26.77845909
03/06/2020,02:15:00 PM,16.27,225.51,33.63,27.46314318
03/06/2020,02:20:00 PM,35.1,301.63,33.96,27.71373864
03/06/2020,02:25:00 PM,42,298.28,34.33,27.79441136
03/06/2020,02:30:00 PM,38.32,279.04,34.59,27.08893636
03/06/2020,02:35:00 PM,25.57,250.84,34.39,26.15178636
03/06/2020,02:40:00 PM,22.44,194.73,34.05,25.68956364
03/06/2020,02:45:00 PM,13.46,170.68,32.38,25.43729318
03/06/2020,02:50:00 PM,8.69,93.75,30.34,25.49301591
03/06/2020,02:55:00 PM,7.09,87.25,28.42,25.47220909
03/06/2020,03:00:00 PM,8.02,107.05,27.94,25.21818409
03/06/2020,03:05:00 PM,10.02,131.08,28.1,24.89238409
03/06/2020,03:10:00 PM,10.51,148.74,28.36,24.40966136
03/06/2020,03:15:00 PM,7.79,110.77,28.37,23.96758409
03/06/2020,03:20:00 PM,6.41,93.63,27.45,23.40493636
03/06/2020,03:25:00 PM,8.52,92.71,25.74,23.012375
03/06/2020,03:30:00 PM,4.85,71.88,24.99,22.69566818
03/06/2020,03:35:00 PM,6.02,61.19,24.4,22.32136136
03/06/2020,03:40:00 PM,4.54,54.46,23.74,21.90414318
03/06/2020,03:45:00 PM,4.34,56.8,22.95,21.44425455
03/06/2020,03:50:00 PM,3.9,53.04,22.99,21.14244091
03/06/2020,03:55:00 PM,5.16,69.32,23.23,21.04173182
03/06/2020,04:00:00 PM,11.15,116.23,23.5,20.88907273
03/06/2020,04:05:00 PM,16.84,142.26,23.56,20.79220682
03/06/2020,04:10:00 PM,15.67,147.04,24.49,20.73272955
03/06/2020,04:15:00 PM,10.73,132.09,25.38,20.78508864
03/06/2020,04:20:00 PM,12.1,116.95,25.42,20.85617045
03/06/2020,04:25:00 PM,15.59,144.78,25.68,21.02884773
03/06/2020,04:30:00 PM,12.28,145.36,26.07,21.22365909
03/06/2020,04:35:00 PM,13.3,165.36,26.69,21.33407955
03/06/2020,04:40:00 PM,14.02,181.54,27.58,21.41218864
03/06/2020,04:45:00 PM,15.42,206.52,28.76,21.51602955
03/06/2020,04:50:00 PM,15.13,178.26,28.67,21.56712045
03/06/2020,04:55:00 PM,14.9,172.14,27.46,21.61573182
03/06/2020,05:00:00 PM,15.02,169.81,25.67,21.62396591
03/06/2020,05:05:00 PM,13.49,163.68,25.89,21.58247727
03/06/2020,05:10:00 PM,10.01,126.79,26.35,21.51334545
03/06/2020,05:15:00 PM,7.68,99.35,25.41,21.42886818
03/06/2020,05:20:00 PM,6.89,93.25,24.54,21.28274318
03/06/2020,05:25:00 PM,5.51,65.65,23.57,21.22530682
03/06/2020,05:30:00 PM,5.3,63.71,22.93,21.32664545
03/06/2020,05:35:00 PM,4.15,51.4,22.59,21.33854318
03/06/2020,05:40:00 PM,3.35,43.42,22.53,21.14671591
03/06/2020,05:45:00 PM,2.21,31.41,22.29,20.94074091
03/06/2020,05:50:00 PM,1.56,23.58,22,20.77540455
03/06/2020,05:55:00 PM,0.43,10.28,21.6,20.60172273
03/06/2020,06:00:00 PM,0,2.73,20.79,20.44500682
03/06/2020,06:05:00 PM,0,1.87,20.18,20.20828409
03/06/2020,06:10:00 PM,0,1.68,19.97,19.91801364
03/06/2020,06:15:00 PM,0,1.21,19.73,19.58680455
03/06/2020,06:20:00 PM,0,1.05,19.56,19.24427955
03/06/2020,06:25:00 PM,0,1.06,19.17,18.86976136
03/06/2020,06:30:00 PM,x,1.06,18.35,18.53927045
03/06/2020,06:35:00 PM,x,1.05,17.96,18.29078409
03/06/2020,06:40:00 PM,x,1.05,17.66,18.08082727
03/06/2020,06:45:00 PM,x,1.05,17.5,17.89584545
03/06/2020,06:50:00 PM,x,1.04,17.18,17.71584545
03/06/2020,06:55:00 PM,x,1.05,17.1,17.59223864
03/06/2020,07:00:00 PM,x,1.05,17.42,17.52863182
03/06/2020,07:05:00 PM,x,1.05,17.64,17.51317727
03/06/2020,07:10:00 PM,x,1.05,17.69,17.50226818
03/06/2020,07:15:00 PM,x,1.05,17.58,17.46317727
03/06/2020,07:20:00 PM,x,1.05,17.81,17.43135909
03/06/2020,07:25:00 PM,x,1.05,17.65,17.38138864
03/06/2020,07:30:00 PM,x,1.05,17.79,17.27232727
03/06/2020,07:35:00 PM,x,1.05,17.54,17.14326591
03/06/2020,07:40:00 PM,x,1.05,17.07,17.01784091
03/06/2020,07:45:00 PM,x,1.04,16.83,16.95787045
03/06/2020,07:50:00 PM,x,1.04,16.55,16.91877955
03/06/2020,07:55:00 PM,x,1.04,16.22,16.91150682
03/06/2020,08:00:00 PM,x,1.04,16.22,16.85968864
03/06/2020,08:05:00 PM,x,1.04,16.31,16.77699091
03/06/2020,08:10:00 PM,x,1.04,16.92,16.71792955
03/06/2020,08:15:00 PM,x,1.05,17.38,16.67156591
03/06/2020,08:20:00 PM,x,1.05,17.57,16.65341364
03/06/2020,08:25:00 PM,x,1.05,17.22,16.68523182
03/06/2020,08:30:00 PM,x,1.04,16.63,16.73705
03/06/2020,08:35:00 PM,x,1.04,16.42,16.79614091
03/06/2020,08:40:00 PM,x,1.04,16.32,16.79159545
03/06/2020,08:45:00 PM,x,1.03,16.35,16.70344318
03/06/2020,08:50:00 PM,x,1.04,16.57,16.55983636
03/06/2020,08:55:00 PM,x,1.04,16.79,16.43986591
03/06/2020,09:00:00 PM,x,1.04,16.96,16.38350227
03/06/2020,09:05:00 PM,x,1.04,16.87,16.35259318
03/06/2020,09:10:00 PM,x,1.04,16.41,16.32444091
03/06/2020,09:15:00 PM,x,1.04,15.99,16.27535
03/06/2020,09:20:00 PM,x,1.04,15.9,16.21265227
03/06/2020,09:25:00 PM,x,1.04,16.01,16.13904545
03/06/2020,09:30:00 PM,x,1.04,16.08,16.03362045
03/06/2020,09:35:00 PM,x,1.03,16.01,15.93274091
03/06/2020,09:40:00 PM,x,1.03,15.81,15.86640682
03/06/2020,09:45:00 PM,x,1.03,15.88,15.83007273
03/06/2020,09:50:00 PM,x,1.03,15.98,15.77828409
03/06/2020,09:55:00 PM,x,1.03,15.8,15.69740455
03/06/2020,10:00:00 PM,x,1.03,15.76,15.57928182
03/06/2020,10:05:00 PM,x,1.03,15.68,15.45837273
