Energia [kWh],Horas Insolacion (h)
104.63,1.75027
253.09,4.76465
155.51,2.75375
234.16,4.06528
188.26,3.38845
163.39,3.10165
219.06,4.27984
298.16,5.36154
317.83,6.15417
290.05,5.29965
194.02,3.44625
173.26,2.91966
181.41,3.13079
132.69,2.20925
155.42,2.60893
166.95,2.79096
219.2,3.75352
170.11,2.95365
170.16,3.08519
208.63,3.67864
263.42,4.61259
193.98,3.41429
189.59,3.45172
78.85,1.33801
160.89,2.9135
186.8,3.24579
258.1,4.70618
192.54,3.46486
181.22,3.12254
141.91,2.46192
284.67,5.69689
220.24,4.1535
180.88,3.09279
251.46,4.48934
295.32,5.57014
230.68,4.34648
174.31,2.9046
249.2,4.55663
199.05,3.60047
64.3,1.11918
264.01,4.84313
313.57,5.81131
321.58,6.05913
221.15,3.77524
196.07,3.52564
254.04,4.63595
243.86,4.40678
301.25,5.43367
299.89,5.7284
211.62,4.36606
228.64,4.56511
190.7,3.72736
166.17,3.07694
136.69,2.83759
117.67,2.48338
130.85,2.64995
117.2,2.31926
237.05,4.3604
224.42,4.66336
302.99,6.02298
170.1,3.20009
217.48,4.13251
165.55,3.04416
183.89,3.38655
166.65,3.45066
175.91,3.49879
229.97,4.31792
218.95,4.16511
165.39,3.13532
260.15,4.71556
224.37,4.35999
186.65,3.36461
187,3.51954
219.35,4.23362
131.51,2.22356
173.2,3.16963
210.78,3.86097
215.65,3.21258
218.97,3.65215
266.94,5.28789
267.02,4.35095
199.68,3.98704
148.02,3.43909
199.38,3.89369
165.78,3.55159
208.86,3.93674
151.09,3.25993
181.22,4.34192
169.65,3.63211
136.76,2.54748
194.18,4.49481
128.93,2.60552
162.43,4.02333
115.34,2.79296
107.94,2.46862
162.37,3.93862
190.87,4.53282
129.15,2.71441
93.13,1.69248
115.46,2.61508
223.87,4.74284
134.89,2.89597
111.94,2.24869
92.01,1.94868
90.78,1.90114
106.75,2.35714
71.68,1.68419
87.64,1.88266
87.6,1.99483
101,2.21399
78.38,1.74776
109.9,2.33653
82.56,1.88376
110.84,2.87144
121.85,2.64258
66.36,1.51277
122.1,2.80166
96.77,2.2997
195.18,3.93518
198.45,3.69915
156.84,3.76491
164.5,4.252
112.67,2.75551
95,2.15734
104.25,2.23704
82.28,1.67093
91.16,2.02405
284.2,5.50233
183.95,3.52915
112.93,2.28425
122.51,2.70063
139.85,2.86388
178.29,4.3712
118.09,2.15928
178.77,3.70916
132.23,2.9938
193.1,4.33643
139.93,3.04517
140.77,3.14523
212.35,4.79629
240.18,5.07675
277.48,5.82849
144.45,3.37673
176.18,3.86222
254.68,5.15274
126.04,3.05131
190.9,3.86267
155.51,3.41386
255.44,4.88708
165.3,3.72363
224.51,5.16283
124.74,3.1128
165.56,3.71952
177.4,3.956
144.37,3.04927
143.32,2.56062
218.13,5.30562
131.58,3.29504
124.15,3.26992
95.71,2.39475
