Time,Potencia [kW],Irradiacion [W/m2],Temperatura de modulos[C],
2019-02-10 08:40:00,24.97159091,389.9225,29.4975,
2019-02-10 09:00:00,28.48613636,382.155,28.11,
2019-02-10 09:20:00,30.065,497.5075,30.9425,
2019-02-10 09:40:00,30.26454545,261.32,30.1175,
2019-02-10 10:00:00,30.40113636,250.735,24.6325,
2019-02-10 10:20:00,30.35181818,518.9675,32.3425,
2019-02-10 10:40:00,31.63886364,655.88,41.2675,
2019-02-10 11:00:00,33.7625,482.2475,36.565,
2019-02-10 11:20:00,32.36863636,381.4325,31.4225,
2019-02-10 11:40:00,33.15545455,418.6225,31.07,
2019-02-10 12:00:00,35.43272727,264.5225,30.3475,
2019-02-10 12:20:00,35.25522727,566.0725,34.315,
2019-02-10 12:40:00,33.69295455,686.575,47.0725,
2019-02-10 13:00:00,31.81590909,268.7675,32.5475,
2019-02-10 13:20:00,30.07636364,336.685,19.5075,
2019-02-10 13:40:00,27.48909091,552.53,33.14,
2019-02-10 14:00:00,26.4725,203.3425,27.1475,
2019-02-10 14:20:00,22.88568182,202.48,26.025,
2019-02-10 14:40:00,18.96886364,136.4125,25.3125,
2019-02-10 15:00:00,17.49818182,113.2675,24.1625,
2019-02-10 15:20:00,15.94681818,44.355,20.8425,
2019-02-10 15:40:00,13.61409091,99.055,21.84,
2019-02-10 16:00:00,12.53636364,32.59,15.875,
2019-02-10 16:20:00,11.60613636,92.75,17.7075,
2019-02-10 16:40:00,10.63727273,56.0775,18.4025,
2019-02-11 07:00:00,10.28795455,157.49,21.25,
2019-02-11 07:20:00,11.48909091,323.7125,24.705,
2019-02-11 07:40:00,12.77431818,387.2175,33,
2019-02-11 08:00:00,13.80386364,262.545,28.8625,
2019-02-11 08:20:00,14.82,55.2675,21.175,
2019-02-11 08:40:00,16.81704545,90.5375,18.2575,
2019-02-11 09:00:00,18.75454545,208.4225,18.2975,
2019-02-11 09:20:00,20.17590909,277.555,27.5425,
2019-02-11 09:40:00,21.34636364,161.5125,25.43,
2019-02-11 10:00:00,23.69772727,226.555,18.915,
2019-02-11 10:20:00,27.46204545,318.11,20.4875,
2019-02-11 10:40:00,28.20409091,380.0725,23.8675,
2019-02-11 11:00:00,28.07840909,417.0375,29.885,
2019-02-11 11:20:00,27.05659091,458.8775,34.3525,
2019-02-11 11:40:00,26.50818182,539.215,36.1725,
2019-02-11 12:00:00,25.13045455,625.705,43.4075,
2019-02-11 12:20:00,22.80681818,181.115,24.3975,
2019-02-11 12:40:00,20.07227273,198.7225,23.7875,
2019-02-11 13:00:00,17.2925,159.8975,24.435,
2019-02-11 13:20:00,14.25113636,96.085,23.52,
2019-02-11 13:40:00,10.66090909,55.025,21.6675,
2019-02-11 14:00:00,6.990681818,21.7425,19.42,
2019-02-11 14:20:00,5.732045455,34.4975,17.0875,
2019-02-11 14:40:00,4.399772727,54.305,18.3925,
2019-02-11 15:00:00,3.420681818,62.355,19.185,
2019-02-11 15:20:00,3.138863636,62.0275,17.7425,
2019-02-11 15:40:00,3.652045455,69.6475,19.3975,
2019-02-11 16:00:00,4.576818182,22.565,18.7225,
2019-02-11 16:20:00,5.782727273,19.825,17.8725,
2019-02-11 16:40:00,6.695681818,25.795,17.7725,
2019-02-12 07:00:00,8.570681818,65.345,15.64,
2019-02-12 07:20:00,9.603636364,129.3125,18.6775,
2019-02-12 07:40:00,11.27613636,153.32,21.1975,
2019-02-12 08:00:00,13.91636364,212.0125,23.7675,
2019-02-12 08:20:00,16.28022727,185.135,24.645,
2019-02-12 08:40:00,17.57045455,368.48,29.57,
2019-02-12 09:00:00,18.47454545,215.24,26.67,
2019-02-12 09:20:00,19.51909091,345.0225,27.8875,
2019-02-12 09:40:00,19.50090909,436.57,33.1025,
2019-02-12 10:00:00,19.01840909,366.6075,31.6975,
2019-02-12 10:20:00,20.62954545,198.92,25.955,
2019-02-12 10:40:00,21.9575,188.1225,22.9575,
2019-02-12 11:00:00,22.17159091,261.7825,26.195,
2019-02-12 11:20:00,22.53318182,136.365,23.0875,
2019-02-12 11:40:00,21.95522727,131.69,20.7075,
2019-02-12 12:00:00,21.21568182,394.165,28.98,
2019-02-12 12:20:00,21.85863636,533.0025,36.35,
2019-02-12 12:40:00,22.69977273,233.9975,27.45,
2019-02-12 13:00:00,23.02818182,339.9625,27.9475,
2019-02-12 13:20:00,24.28954545,302.7925,28.255,
2019-02-12 13:40:00,25.95613636,239.7175,27.595,
2019-02-12 14:00:00,25.55340909,282.2275,24.6275,
2019-02-12 14:20:00,22.95409091,288.395,26.0325,
2019-02-12 14:40:00,21.97136364,247.945,25.9425,
2019-02-12 15:00:00,20.08886364,153.225,21.66,
2019-02-12 15:20:00,17.91045455,77.0025,17.2375,
2019-02-12 15:40:00,16.22159091,81.31,17.62,
2019-02-12 16:00:00,14.28204545,72.7325,18.635,
2019-02-12 16:20:00,12.33568182,46.86,18.51,
2019-02-12 16:40:00,10.59840909,41.2825,18.0925,
2019-03-10 07:00:00,9.297272727,6.75,10.1225,
2019-03-10 07:20:00,7.868863636,11.9575,9.6525,
2019-03-10 07:40:00,6.622045455,26.195,9.605,
2019-03-10 08:00:00,7.462727273,33.1125,9.39,
2019-03-10 08:20:00,9.236590909,71.6075,9.97,
2019-03-10 08:40:00,11.12659091,131.65,11.4,
2019-03-10 09:00:00,13.99181818,159.295,12.9325,
2019-03-10 09:20:00,17.11318182,165.41,13.1,
2019-03-10 09:40:00,19.81295455,249.0275,13.51,
2019-03-10 10:00:00,22.83181818,325.0375,16.6575,
2019-03-10 10:20:00,24.72909091,332.91,18.6975,
2019-03-10 10:40:00,26.12704545,384.4925,22.9825,
2019-03-10 11:00:00,27.21568182,421.125,26.92,
2019-03-10 11:20:00,28.20704545,380.4125,27.5225,
2019-03-10 11:40:00,29.04295455,432.41,28.5875,
2019-03-10 12:00:00,29.57954545,323.5925,28.6375,
2019-03-10 12:20:00,29.86818182,320.6975,22.125,
2019-03-10 12:40:00,29.13613636,303.7375,23.225,
2019-03-10 13:00:00,28.29181818,292.5775,21.3525,
2019-03-10 13:20:00,27.11181818,346.7275,21.675,
2019-03-10 13:40:00,25.63636364,373.7775,27.38,
2019-03-10 14:00:00,24.77,339.0375,28.3525,
2019-03-10 14:20:00,23.22022727,262.09,24.42,
2019-03-10 14:40:00,21.58409091,260.3,23.5375,
2019-03-10 15:00:00,19.86136364,205.865,21.76,
2019-03-10 15:20:00,18.79636364,204.03,22.9425,
2019-03-10 15:40:00,18.01454545,163.5875,21.1,
2019-03-10 16:00:00,17.55659091,85.7275,18.5475,
2019-03-10 16:20:00,18.69545455,74.405,16.7575,
2019-03-10 16:40:00,20.27,54.875,15.995,
2019-03-11 07:00:00,21.23181818,372.71,25.5625,
2019-03-11 07:20:00,22.875,451.75,30.43,
2019-03-11 07:40:00,24.48159091,446.5625,32.2425,
2019-03-11 08:00:00,27.89090909,560.2925,33.9325,
2019-03-11 08:20:00,29.53318182,661.4625,38.7575,
2019-03-11 08:40:00,31.12636364,424.3875,35.26,
2019-03-11 09:00:00,31.34431818,517.1225,34.935,
2019-03-11 09:20:00,31.28545455,466.245,31.2175,
2019-03-11 09:40:00,31.18886364,667.58,38.3025,
2019-03-11 10:00:00,29.50227273,316.6225,34.2675,
2019-03-11 10:20:00,27.5725,283.2725,30.185,
2019-03-11 10:40:00,27.1175,250.6575,28.315,
2019-03-11 11:00:00,25.44659091,293.6775,28.705,
2019-03-11 11:20:00,24.39,301.0175,29.6275,
2019-03-11 11:40:00,22.99227273,209.605,26.55,
2019-03-11 12:00:00,24.24727273,263.2175,25.9225,
2019-03-11 12:20:00,25.49386364,278.8125,27.4475,
2019-03-11 12:40:00,27.3825,218.0625,24.185,
2019-03-11 13:00:00,29.97772727,267.5,24.855,
2019-03-11 13:20:00,29.79931818,314.795,25.73,
2019-03-11 13:40:00,31.32613636,326.11,26.9175,
2019-03-11 14:00:00,30.69272727,227.5075,25.1925,
2019-03-11 14:20:00,28.85227273,167.0075,23.74,
2019-03-11 14:40:00,27.33818182,167.5025,23.85,
