Fecha,Potencia [kW],Insolacion [W/m2]
22:10,0.0,0.97
22:15,0.0,0.97
22:20,0.0,0.97
22:25,0.0,0.97
22:30,0.0,0.97
22:35,0.0,0.97
22:40,0.0,0.97
22:45,0.0,0.97
22:50,0.0,0.97
22:55,0.0,0.97
23:00,0.0,0.97
23:05,0.0,0.97
23:10,0.0,0.97
23:15,0.0,0.97
23:20,0.0,0.97
23:25,0.0,0.97
23:30,0.0,0.97
23:35,0.0,0.97
23:40,0.0,0.97
23:45,0.0,0.97
23:50,0.0,0.96
23:55,0.0,0.97
