,Fecha,Hora,Energia [kWh],Irradiacion [Wh/m2],Irradiacion extraterrestre [Wh/m2]
88,9/10/2019,15:00,31.8725,50.50333333,945.7280717
89,9/10/2019,16:00,10.99583333,26.00833333,664.6732807999999
90,10/10/2019,7:00,7.658333333,98.26416667,336.5322108
91,10/10/2019,8:00,14.945,186.8441667,663.7248856000001
92,10/10/2019,9:00,18.11916667,224.9733333,944.6916051000001
93,10/10/2019,10:00,33.8,433.44333330000006,1160.284952
94,10/10/2019,11:00,36.91,480.02833330000004,1295.8125949999999
95,10/10/2019,12:00,25.46,312.95916669999997,1342.03855
96,10/10/2019,13:00,19.73916667,239.2183333,1295.8125949999999
97,10/10/2019,14:00,33.61583333,283.5325,1160.284952
98,10/10/2019,15:00,4.9275,52.43333333,944.6916051000001
99,10/10/2019,16:00,5.490833332999999,59.96166667,663.7248856000001
100,11/10/2019,7:00,8.319166667000001,112.24666670000002,335.6759165
101,11/10/2019,8:00,10.5475,129.9958333,662.7524081
102,11/10/2019,9:00,21.01083333,252.2716667,943.6193588
103,11/10/2019,10:00,28.16083333,333.6825,1159.13615
104,11/10/2019,11:00,23.335,280.495,1294.615669
105,11/10/2019,12:00,16.88166667,196.64833330000002,1340.82521
106,11/10/2019,13:00,28.1725,325.725,1294.615669
107,11/10/2019,14:00,16.37166667,197.8675,1159.13615
108,11/10/2019,15:00,12.655,143.6266667,943.6193588
109,11/10/2019,16:00,3.429166667,47.78666667,662.7524081
110,12/10/2019,7:00,10.48416667,145.9125,334.8097233
111,12/10/2019,8:00,23.95,338.055,661.7567012000001
112,12/10/2019,9:00,21.86416667,274.7975,942.512436
113,12/10/2019,10:00,29.35916667,374.1783333,1157.943888
114,12/10/2019,11:00,24.095,288.6575,1293.369761
115,12/10/2019,12:00,22.03333333,251.5433333,1339.561004
116,12/10/2019,13:00,33.675,340.4433333,1293.369761
117,12/10/2019,14:00,40.00333333,300.1841667,1157.943888
118,12/10/2019,15:00,10.95666667,100.7933333,942.512436
119,12/10/2019,16:00,5.521666667000001,57.12166667,661.7567012000001
120,13/10/2019,7:00,20.71166667,376.72083330000004,333.93420760000004
121,13/10/2019,8:00,34.88166667,515.0716666999999,660.7386493
122,13/10/2019,9:00,65.3475,941.9875,941.3719854000001
123,13/10/2019,10:00,67.97583333,978.17,1156.709518
124,13/10/2019,11:00,70.285,978.3591667000002,1292.07635
125,13/10/2019,12:00,57.9425,775.1583333,1338.2474550000002
126,13/10/2019,13:00,38.545,450.6708333000001,1292.07635
127,13/10/2019,14:00,35.08666667,308.0875,1156.709518
128,13/10/2019,15:00,19.92583333,166.7333333,941.3719854000001
129,13/10/2019,16:00,9.944166667000001,71.58333333,660.7386493
130,14/10/2019,7:00,12.46583333,181.97416669999998,333.0499605
131,14/10/2019,8:00,24.7,335.0875,659.6991668
132,14/10/2019,9:00,32.49,416.1041667,940.1991993999999
133,14/10/2019,10:00,26.58833333,328.6766667,1155.434444
134,14/10/2019,11:00,21.07083333,256.7225,1290.736976
