"Fecha","Hora","Potencia [kW]","Insolacion [W/m2]","Temperatura de modulos [C]","Temperatura Ambiente [C]"
"22/04/2020","0:00","x","1","14,36","14,44577917"
"22/04/2020","0:05","x","1","14,53","14,406025"
"22/04/2020","0:10","x","1","14,58","14,36620938"
"22/04/2020","0:15","x","1,01","14,59","14,33083333"
"22/04/2020","0:20","x","1","14,39","14,3085325"
"22/04/2020","0:25","x","1","14,42","14,28934773"
"22/04/2020","0:30","x","1","14,2","14,28752955"
"22/04/2020","0:35","x","1","14,12","14,28480227"
"22/04/2020","0:40","x","0,99","14,08","14,28025682"
"22/04/2020","0:45","x","0,99","14,14","14,25483182"
"22/04/2020","0:50","x","1","14,13","14,20937727"
"22/04/2020","0:55","x","1","14,34","14,09486136"
"22/04/2020","1:00","x","1","14,5","13,95761818"
"22/04/2020","1:05","x","1","14,53","13,80949545"
"22/04/2020","1:10","x","1","14,31","13,62588864"
"22/04/2020","1:15","x","1","13,89","13,42319091"
"22/04/2020","1:20","x","0,99","13,16","13,23234091"
"22/04/2020","1:25","x","0,99","12,69","13,0324"
"22/04/2020","1:30","x","0,98","12,49","12,82427727"
"22/04/2020","1:35","x","0,98","12,06","12,62433636"
"22/04/2020","1:40","x","0,98","11,91","12,45985"
"22/04/2020","1:45","x","0,98","12,03","12,35536364"
"22/04/2020","1:50","x","0,98","12,14","12,34627273"
"22/04/2020","1:55","x","0,98","12,21","12,41445455"
"22/04/2020","2:00","x","0,98","12,33","12,50987955"
"22/04/2020","2:05","x","0,98","12,5","12,61712273"
"22/04/2020","2:10","x","0,98","12,74","12,71436591"
"22/04/2020","2:15","x","0,99","13,06","12,7807"
"22/04/2020","2:20","x","0,99","13,44","12,82521591"
"22/04/2020","2:25","x","0,99","13,54","12,87064091"
"22/04/2020","2:30","x","0,99","13,24","12,906975"
"22/04/2020","2:35","x","0,99","12,98","12,93421818"
"22/04/2020","2:40","x","0,99","12,76","12,95327955"
"22/04/2020","2:45","x","0,99","12,63","12,95509773"
"22/04/2020","2:50","x","0,99","12,71","12,91597727"
"22/04/2020","2:55","x","0,99","12,73","12,87143182"
"22/04/2020","3:00","x","0,99","12,8","12,86415909"
"22/04/2020","3:05","x","0,99","12,95","12,87594773"
"22/04/2020","3:10","x","0,99","13,08","12,908675"
"22/04/2020","3:15","x","1","13,01","12,95231136"
"22/04/2020","3:20","x","0,99","13,05","12,95140227"
"22/04/2020","3:25","x","0,99","13,16","12,92503864"
"22/04/2020","3:30","x","1","13,11","12,878675"
"22/04/2020","3:35","x","0,99","13,12","12,81415909"
"22/04/2020","3:40","x","0,99","13,11","12,74234091"
"22/04/2020","3:45","x","0,99","12,7","12,69600682"
"22/04/2020","3:50","x","0,99","12,44","12,66327955"
"22/04/2020","3:55","x","0,99","12,29","12,63146136"
"22/04/2020","4:00","x","0,98","12,24","12,60694545"
"22/04/2020","4:05","x","0,99","12,29","12,57785455"
"22/04/2020","4:10","x","0,99","12,5","12,52785455"
"22/04/2020","4:15","x","0,99","12,69","12,48512727"
"22/04/2020","4:20","x","0,99","12,81","12,46785455"
"22/04/2020","4:25","x","0,99","12,84","12,47694545"
"22/04/2020","4:30","x","0,99","12,8","12,49873409"
"22/04/2020","4:35","x","0,99","12,56","12,51509773"
"22/04/2020","4:40","x","0,99","12,23","12,51873409"
"22/04/2020","4:45","x","0,99","12,25","12,51327955"
"22/04/2020","4:50","x","0,99","12,39","12,48870455"
"22/04/2020","4:55","x","0,99","12,48","12,428675"
"22/04/2020","5:00","x","0,99","12,47","12,34140227"
"22/04/2020","5:05","x","0,99","12,54","12,22140227"
"22/04/2020","5:10","x","0,99","12,63","12,12231136"
"22/04/2020","5:15","x","1","12,54","12,03219318"
"22/04/2020","5:20","x","1","12,18","11,92095227"
"22/04/2020","5:25","x","0,99","11,84","11,81564773"
"22/04/2020","5:30","x","0,99","11,24","11,72385682"
"22/04/2020","5:35","x","0,99","11,14","11,62643864"
"22/04/2020","5:40","x","1,03","11,26","11,53785"
"22/04/2020","5:45","0","1,41","11,18","11,47794318"
"22/04/2020","5:50","0","2,17","11,36","11,48023636"
"22/04/2020","5:55","0","3,75","11,55","11,52479318"
"22/04/2020","6:00","0,07","6,27","11,64","11,61125909"
