Fecha,Hora,Potencia [kW],Insolaci¢n [W/mý],Temperatura de modulos [øC],Temperatura ambiental [øC]
05/06/2020,12:00:00 AM,x,0.99,14.44,14.4008875
05/06/2020,12:05:00 AM,x,1,14.36,14.42326071
05/06/2020,12:10:00 AM,x,1,14.35,14.43254063
05/06/2020,12:15:00 AM,x,1,14.42,14.43420278
05/06/2020,12:20:00 AM,x,1,14.49,14.4285325
05/06/2020,12:25:00 AM,x,1,14.54,14.42116591
05/06/2020,12:30:00 AM,x,1,14.59,14.41568182
05/06/2020,12:35:00 AM,x,1,14.53,14.42659091
05/06/2020,12:40:00 AM,x,1,14.48,14.44022727
05/06/2020,12:45:00 AM,x,1,14.41,14.44204545
05/06/2020,12:50:00 AM,x,1,14.38,14.4275
05/06/2020,12:55:00 AM,x,1,14.38,14.39840909
05/06/2020,01:00:00 AM,x,1,14.48,14.3675
05/06/2020,01:05:00 AM,x,1,14.5,14.33386364
05/06/2020,01:10:00 AM,x,1,14.44,14.3075
05/06/2020,01:15:00 AM,x,1,14.33,14.28931818
05/06/2020,01:20:00 AM,x,1,14.22,14.2675
05/06/2020,01:25:00 AM,x,1,14.25,14.23931818
05/06/2020,01:30:00 AM,x,1,14.16,14.1875
05/06/2020,01:35:00 AM,x,1,14.19,14.12480227
05/06/2020,01:40:00 AM,x,1,14.21,14.06210455
05/06/2020,01:45:00 AM,x,1,14.14,14.00213409
05/06/2020,01:50:00 AM,x,1,14.07,13.94304318
05/06/2020,01:55:00 AM,x,1,13.91,13.88031591
05/06/2020,02:00:00 AM,x,0.99,13.81,13.81940682
05/06/2020,02:05:00 AM,x,0.99,13.75,13.74213409
05/06/2020,02:10:00 AM,x,0.99,13.67,13.63031591
05/06/2020,02:15:00 AM,x,1,13.57,13.50034545
05/06/2020,02:20:00 AM,x,1,13.56,13.38855682
05/06/2020,02:25:00 AM,x,1,13.49,13.31855682
05/06/2020,02:30:00 AM,x,1,13.34,13.26855682
05/06/2020,02:35:00 AM,x,1,12.98,13.22495
05/06/2020,02:40:00 AM,x,0.99,12.71,13.19222273
05/06/2020,02:45:00 AM,x,0.99,12.84,13.19137273
05/06/2020,02:50:00 AM,x,1,13.14,13.21234091
05/06/2020,02:55:00 AM,x,0.99,13.26,13.24603636
