Fecha,Hora,Potencia [kW],Insolaci¢n [W/mý],Temperatura de modulos [øC],Temperatura ambiental [øC]
05/20/2020,12:00:00 AM,x,1,12.72,12.15599583
05/20/2020,12:05:00 AM,x,1,12.45,12.084875
05/20/2020,12:10:00 AM,x,1,12.46,12.01278438
05/20/2020,12:15:00 AM,x,0.99,12.04,11.94449167
05/20/2020,12:20:00 AM,x,0.99,11.72,11.8798575
05/20/2020,12:25:00 AM,x,0.99,11.74,11.80788409
05/20/2020,12:30:00 AM,x,0.98,11.69,11.64521591
05/20/2020,12:35:00 AM,x,0.98,11.54,11.48982045
05/20/2020,12:40:00 AM,x,0.98,11.43,11.32078864
05/20/2020,12:45:00 AM,x,0.98,11.33,11.17990909
05/20/2020,12:50:00 AM,x,0.98,11.12,11.05539318
05/20/2020,12:55:00 AM,x,0.98,10.93,10.92269545
05/20/2020,01:00:00 AM,x,0.98,10.74,10.78905909
05/20/2020,01:05:00 AM,x,0.98,10.6,10.67269545
05/20/2020,01:10:00 AM,x,0.98,10.49,10.56175682
05/20/2020,01:15:00 AM,x,0.98,10.35,10.45354545
05/20/2020,01:20:00 AM,x,0.98,10.28,10.36533409
05/20/2020,01:25:00 AM,x,0.98,10.22,10.29530455
05/20/2020,01:30:00 AM,x,0.98,10.26,10.23436591
05/20/2020,01:35:00 AM,x,0.99,10.21,10.18797273
05/20/2020,01:40:00 AM,x,0.99,10.14,10.15976136
05/20/2020,01:45:00 AM,x,0.99,10.15,10.156975
05/20/2020,01:50:00 AM,x,0.99,10.16,10.17873409
05/20/2020,01:55:00 AM,x,0.99,10.07,10.22052273
05/20/2020,02:00:00 AM,x,0.99,10.09,10.26228182
05/20/2020,02:05:00 AM,x,0.99,10.18,10.30134318
05/20/2020,02:10:00 AM,x,1,10.32,10.33770682
05/20/2020,02:15:00 AM,x,1,10.52,10.36770682
05/20/2020,02:20:00 AM,x,0.99,10.68,10.40316136
05/20/2020,02:25:00 AM,x,1,10.72,10.45043409
05/20/2020,02:30:00 AM,x,1,10.64,10.49404091
05/20/2020,02:35:00 AM,x,0.99,10.54,10.52855682
05/20/2020,02:40:00 AM,x,0.99,10.48,10.55404091
05/20/2020,02:45:00 AM,x,0.99,10.55,10.54949545
05/20/2020,02:50:00 AM,x,0.99,10.59,10.51949545
05/20/2020,02:55:00 AM,x,1,10.57,10.48134318
05/20/2020,03:00:00 AM,x,1,10.56,10.42864545
05/20/2020,03:05:00 AM,x,0.99,10.6,10.38500909
05/20/2020,03:10:00 AM,x,1,10.47,10.35137273
05/20/2020,03:15:00 AM,x,0.99,10.35,10.31500909
05/20/2020,03:20:00 AM,x,0.99,10.3,10.26773636
05/20/2020,03:25:00 AM,x,0.99,10.06,10.22779545
05/20/2020,03:30:00 AM,x,0.99,10.06,10.22327955
05/20/2020,03:35:00 AM,x,0.99,10.11,10.25509773
05/20/2020,03:40:00 AM,x,0.99,10.15,10.33603636
05/20/2020,03:45:00 AM,x,0.99,10.07,10.43330909
05/20/2020,03:50:00 AM,x,0.98,10.13,10.49330909
05/20/2020,03:55:00 AM,x,0.99,10.51,10.53603636
05/20/2020,04:00:00 AM,x,0.99,10.95,10.56515682
05/20/2020,04:05:00 AM,x,0.99,11.36,10.59973182
05/20/2020,04:10:00 AM,x,0.99,11.42,10.64336818
05/20/2020,04:15:00 AM,x,0.99,10.96,10.71245909
05/20/2020,04:20:00 AM,x,0.99,10.53,10.81970227
05/20/2020,04:25:00 AM,x,0.98,10.38,10.91061136
05/20/2020,04:30:00 AM,x,0.98,10.49,10.97152045
05/20/2020,04:35:00 AM,x,0.99,10.63,11.01061136
05/20/2020,04:40:00 AM,x,0.99,10.83,11.06424773
05/20/2020,04:45:00 AM,x,0.99,11.31,11.15970227
05/20/2020,04:50:00 AM,x,0.99,11.51,11.28515682
05/20/2020,04:55:00 AM,x,0.99,11.62,11.43967273
05/20/2020,05:00:00 AM,x,0.99,11.79,11.59327955
05/20/2020,05:05:00 AM,x,0.99,12.01,11.73688636
05/20/2020,05:10:00 AM,x,0.99,12.01,11.86937727
05/20/2020,05:15:00 AM,x,0.99,11.91,11.96916364
05/20/2020,05:20:00 AM,x,0.99,12.08,12.06406591
05/20/2020,05:25:00 AM,x,0.99,12.18,12.14959091
05/20/2020,05:30:00 AM,x,1,12.21,12.20208182
05/20/2020,05:35:00 AM,x,1.07,12.29,12.242625
05/20/2020,05:40:00 AM,0,1.37,12.42,12.28102955
05/20/2020,05:45:00 AM,0,2.1,12.59,12.32958864
05/20/2020,05:50:00 AM,0,3.12,12.63,12.37961136
05/20/2020,05:55:00 AM,0.04,5.07,12.5,12.42235682
05/20/2020,06:00:00 AM,0.1,6.96,12.65,12.47344773
05/20/2020,06:05:00 AM,0.43,13.53,12.84,12.506875
05/20/2020,06:10:00 AM,0.86,21.17,13.1,12.56339545
05/20/2020,06:15:00 AM,1.12,25.29,13.42,12.60965682
05/20/2020,06:20:00 AM,1.42,30.83,13.62,12.69940455
05/20/2020,06:25:00 AM,1.7,35.4,13.89,12.81980227
05/20/2020,06:30:00 AM,2.83,55.91,14.44,12.97389091
05/20/2020,06:35:00 AM,3.5,66.24,15.15,13.08839091
05/20/2020,06:40:00 AM,4.51,82.75,15.72,13.17938182
05/20/2020,06:45:00 AM,4.22,78.59,16.07,13.42672727
05/20/2020,06:50:00 AM,4.57,84.32,16.4,13.67906591
05/20/2020,06:55:00 AM,4.8,87.73,16.97,13.96113409
05/20/2020,07:00:00 AM,6.48,116.93,17.46,14.31927045
05/20/2020,07:05:00 AM,8.47,153.45,18.4,14.58421818
05/20/2020,07:10:00 AM,7.37,132.65,19.63,14.86154773
05/20/2020,07:15:00 AM,7.46,132.5,19.7,15.18548864
05/20/2020,07:20:00 AM,7.64,134.7,20.22,15.42241818
05/20/2020,07:25:00 AM,6.61,111.31,20.18,15.51517955
05/20/2020,07:30:00 AM,7.55,131.95,20.2,15.78074318
05/20/2020,07:35:00 AM,7.93,137.5,20.55,16.16864773
05/20/2020,07:40:00 AM,5.12,91.41,20.05,16.349925
05/20/2020,07:45:00 AM,6.08,106.59,19.73,16.51873409
05/20/2020,07:50:00 AM,9.24,162.18,20.41,16.61129773
05/20/2020,07:55:00 AM,9.28,163.97,21.91,16.57324091
05/20/2020,08:00:00 AM,7.36,127.39,21.82,16.62265455
05/20/2020,08:05:00 AM,7.4,127.91,21.47,16.78195682
05/20/2020,08:10:00 AM,7.19,127.98,21.41,16.68073182
05/20/2020,08:15:00 AM,7.26,130.14,21.09,16.11357955
05/20/2020,08:20:00 AM,8.18,146.96,20.92,16.37506364
05/20/2020,08:25:00 AM,9.8,170.61,22,17.03873864
05/20/2020,08:30:00 AM,8.23,143.89,22.51,17.67933864
05/20/2020,08:35:00 AM,12.7,236.44,23.65,18.07298636
05/20/2020,08:40:00 AM,32.57,583.78,29,18.28417955
05/20/2020,08:45:00 AM,32.45,569.37,36.52,18.66818864
05/20/2020,08:50:00 AM,20.1,368.88,35.87,19.11222273
05/20/2020,08:55:00 AM,10.15,172.11,30.32,19.37291591
05/20/2020,09:00:00 AM,10.51,182.06,27.56,19.46129318
05/20/2020,09:05:00 AM,14.18,241.73,27.43,19.687525
05/20/2020,09:10:00 AM,10,171.86,26.67,20.1173
05/20/2020,09:15:00 AM,7.72,126.21,25.13,20.21669773
05/20/2020,09:20:00 AM,6.92,117.76,23.15,19.94465227
05/20/2020,09:25:00 AM,7.99,129.67,23.02,18.85978409
05/20/2020,09:30:00 AM,8.84,141.1,23.04,18.73950682
05/20/2020,09:35:00 AM,19.32,318.01,25.09,18.09856136
05/20/2020,09:40:00 AM,17.32,279.42,28.19,17.47583636
