Fecha,Hora,Potencia [kW],Insolaci¢n [W/mý],Temperatura de modulos [øC],Temperatura ambiental [øC]
05/27/2020,12:00:00 AM,x,0.98,12.01,11.67164583
05/27/2020,12:05:00 AM,x,0.98,11.85,11.68543214
05/27/2020,12:10:00 AM,x,0.98,11.64,11.69827188
05/27/2020,12:15:00 AM,x,0.97,11.46,11.70936944
05/27/2020,12:20:00 AM,x,0.97,11.59,11.7182475
05/27/2020,12:25:00 AM,x,0.97,11.67,11.73732955
05/27/2020,12:30:00 AM,x,0.98,11.8,11.73278409
05/27/2020,12:35:00 AM,x,0.98,11.82,11.72278409
05/27/2020,12:40:00 AM,x,0.98,11.83,11.74735909
05/27/2020,12:45:00 AM,x,0.98,11.83,11.79460227
05/27/2020,12:50:00 AM,x,0.98,11.96,11.84548182
05/27/2020,12:55:00 AM,x,0.98,11.96,11.87363409
05/27/2020,01:00:00 AM,x,0.98,11.74,11.87454318
05/27/2020,01:05:00 AM,x,0.97,11.91,11.87181591
05/27/2020,01:10:00 AM,x,0.98,11.98,11.88820909
05/27/2020,01:15:00 AM,x,0.98,12.15,11.9073
05/27/2020,01:20:00 AM,x,0.98,11.98,11.90820909
05/27/2020,01:25:00 AM,x,0.98,11.81,11.89002727
05/27/2020,01:30:00 AM,x,0.98,11.79,11.90639091
05/27/2020,01:35:00 AM,x,0.97,12.01,11.88908864
05/27/2020,01:40:00 AM,x,0.98,12.04,11.87181591
05/27/2020,01:45:00 AM,x,0.98,11.97,11.85363409
05/27/2020,01:50:00 AM,x,0.98,11.76,11.85002727
05/27/2020,01:55:00 AM,x,0.98,11.92,11.85548182
05/27/2020,02:00:00 AM,x,0.98,11.72,11.86366364
05/27/2020,02:05:00 AM,x,0.98,11.79,11.84820909
05/27/2020,02:10:00 AM,x,0.98,11.95,11.82820909
05/27/2020,02:15:00 AM,x,0.97,11.94,11.81639091
05/27/2020,02:20:00 AM,x,0.98,11.87,11.81369318
05/27/2020,02:25:00 AM,x,0.98,11.88,11.79372273
05/27/2020,02:30:00 AM,x,0.97,11.84,11.80190455
05/27/2020,02:35:00 AM,x,0.98,11.82,11.81193409
05/27/2020,02:40:00 AM,x,0.98,11.84,11.80920682
