Fecha ,Hora,Potencia [kW],Insolaci½n [W/mì],Temperatura de modulos [›C],Temperatura ambiente [›C]
01/22/2020,07:20:00 AM,2.74,45.59,15.59,13.75326591
01/22/2020,07:25:00 AM,2.34,40.82,15.58,13.86736591
01/22/2020,07:30:00 AM,1.39,27.28,15.47,14.03160455
01/22/2020,07:35:00 AM,1.75,31.03,15.37,14.19290682
01/22/2020,07:40:00 AM,2.15,37.42,15.33,14.31677273
01/22/2020,07:45:00 AM,1.8,32.7,15.42,14.40245682
01/22/2020,07:50:00 AM,1.76,31.25,15.3,14.44281136
01/22/2020,07:55:00 AM,1.69,30.02,15.36,14.48312273
01/22/2020,08:00:00 AM,1.82,32.68,15.56,14.47265909
01/22/2020,08:05:00 AM,1.74,30.8,15.72,14.55382727
01/22/2020,08:10:00 AM,2.34,38.04,16,14.69756591
01/22/2020,08:15:00 AM,4.16,61.47,16.55,14.728275
01/22/2020,08:20:00 AM,4.66,69.33,16.95,14.67824545
01/22/2020,08:25:00 AM,5.59,84.36,17.21,14.57692955
01/22/2020,08:30:00 AM,5.72,87.25,18.09,14.48835909
01/22/2020,08:35:00 AM,4.31,64.77,17.8,14.4914
01/22/2020,08:40:00 AM,4.57,68.46,16.92,14.53478182
01/22/2020,08:45:00 AM,5.76,87.26,16.57,14.73577955
01/22/2020,08:50:00 AM,7.38,105.85,16.71,14.90603636
01/22/2020,08:55:00 AM,8.52,122.35,17.5,14.96990455
01/22/2020,09:00:00 AM,8.87,128.54,18.93,14.986525
01/22/2020,09:05:00 AM,9.54,136.28,19.67,14.97480227
01/22/2020,09:10:00 AM,4.84,73.44,19.15,15.07545455
01/22/2020,09:15:00 AM,2.86,44.32,18.01,15.41032727
01/22/2020,09:20:00 AM,6.6,93.82,18.22,15.88450455
01/22/2020,09:25:00 AM,9.47,130.24,19.67,16.31948182
01/22/2020,09:30:00 AM,12.76,176.43,21.3,16.45851136
01/22/2020,09:35:00 AM,14.56,205.47,22.48,15.75073409
01/22/2020,09:40:00 AM,14.2,204.38,24.06,15.95345682
01/22/2020,09:45:00 AM,11.5,166.59,23.9,16.91074091
01/22/2020,09:50:00 AM,10.78,160.05,23.51,18.05969773
01/22/2020,09:55:00 AM,17.12,263.33,24.84,18.86131591
01/22/2020,10:00:00 AM,43.64,695.22,30.05,19.30387727
01/22/2020,10:05:00 AM,35.24,602.98,38.59,19.50628864
01/22/2020,10:10:00 AM,19.63,310.47,37.19,19.5259
01/22/2020,10:15:00 AM,6.13,101.25,31.1,19.47880227
01/22/2020,10:20:00 AM,3.61,58,26.14,19.38133636
01/22/2020,10:25:00 AM,6.91,94.64,23.51,19.26752727
01/22/2020,10:30:00 AM,11.06,150.5,22.92,19.84898182
01/22/2020,10:35:00 AM,11.47,162.05,22.9,19.45142727
01/22/2020,10:40:00 AM,7.98,121.3,21.91,18.51463409
01/22/2020,10:45:00 AM,5.66,79.5,19.82,17.44849773
01/22/2020,10:50:00 AM,12.31,157.85,20.16,16.76460455
01/22/2020,10:55:00 AM,18.9,254.42,22.12,16.56135
01/22/2020,11:00:00 AM,19.87,290.46,24.06,16.57955909
01/22/2020,11:05:00 AM,17.3,246,24.79,16.66728182
01/22/2020,11:10:00 AM,20.04,272.25,24.93,16.54123409
01/22/2020,11:15:00 AM,21.14,307.01,26.71,16.61093864
01/22/2020,11:20:00 AM,19.18,273.28,27.08,16.90720455
01/22/2020,11:25:00 AM,19.7,277.26,27.24,17.35939091
01/22/2020,11:30:00 AM,19.67,285.59,27.88,17.7595
01/22/2020,11:35:00 AM,23.26,332.27,27.38,17.90175
01/22/2020,11:40:00 AM,21.4,303.6,27.87,17.92021818
01/22/2020,11:45:00 AM,20.06,288.96,27.68,17.90720455
01/22/2020,11:50:00 AM,16.56,245.68,26.81,17.83998409
01/22/2020,11:55:00 AM,11.36,181.5,24.92,17.78944318
01/22/2020,12:00:00 PM,9.77,147.7,23.16,17.69266818
01/22/2020,12:05:00 PM,11.81,171.23,21.85,17.80257045
01/22/2020,12:10:00 PM,11.82,172.03,22.18,17.77602273
01/22/2020,12:15:00 PM,10.25,145.57,22.19,17.731325
01/22/2020,12:20:00 PM,9.64,132.52,21.98,17.59395227
01/22/2020,12:25:00 PM,10.28,142.96,22.18,17.59847727
01/22/2020,12:30:00 PM,11.08,155.38,22.84,17.50858864
01/22/2020,12:35:00 PM,13.34,179.97,23.56,17.62902727
01/22/2020,12:40:00 PM,15.14,202.55,24.38,17.80291818
01/22/2020,12:45:00 PM,20.39,279.56,26.4,17.91509318
01/22/2020,12:50:00 PM,17.48,238.43,26.82,17.95639773
01/22/2020,12:55:00 PM,19.63,259.97,25.82,17.95575227
01/22/2020,01:00:00 PM,17.86,260.62,26.08,17.76147955
01/22/2020,01:05:00 PM,13.38,193.79,24.8,17.47598864
01/22/2020,01:10:00 PM,8.23,118.68,22.55,17.55583409
01/22/2020,01:15:00 PM,5.98,90.54,21.07,17.78012955
01/22/2020,01:20:00 PM,7.21,97.64,20.7,17.62384091
01/22/2020,01:25:00 PM,14.69,182.98,21.6,17.36907273
01/22/2020,01:30:00 PM,25.2,320.29,24.98,17.46570682
01/22/2020,01:35:00 PM,20.06,258.91,27.09,17.81781591
01/22/2020,01:40:00 PM,15.85,204.26,26.42,18.15541591
01/22/2020,01:45:00 PM,33.91,299.02,27.07,18.35770455
01/22/2020,01:50:00 PM,51.24,447.43,29.11,18.57712273
01/22/2020,01:55:00 PM,33.36,354.99,30.21,19.09476591
01/22/2020,02:00:00 PM,14.84,215.23,29.37,19.64588636
01/22/2020,02:05:00 PM,10.12,147.8,27.21,19.73201591
01/22/2020,02:10:00 PM,14.41,185.15,26.37,19.66097045
01/22/2020,02:15:00 PM,23.48,234.76,27.57,19.87279091
01/22/2020,02:20:00 PM,11.56,163.47,26.66,20.20007273
01/22/2020,02:25:00 PM,13.13,158.68,25.79,20.11825227
01/22/2020,02:30:00 PM,16.66,176.22,25.35,19.62664318
01/22/2020,02:35:00 PM,18.19,206.46,25.71,19.10200455
01/22/2020,02:40:00 PM,12.25,172.25,25.28,18.74300909
01/22/2020,02:45:00 PM,14,164.35,23.51,18.65634773
01/22/2020,02:50:00 PM,16.43,189.76,23.94,18.35661818
01/22/2020,02:55:00 PM,19.04,192.39,23.22,18.22887727
01/22/2020,03:00:00 PM,20.03,197.37,23.05,18.26186818
01/22/2020,03:05:00 PM,18.91,212.81,23.32,18.36055909
01/22/2020,03:10:00 PM,10.75,145.63,23.72,18.35896818
01/22/2020,03:15:00 PM,13.84,181.84,23.96,18.34741136
01/22/2020,03:20:00 PM,10.12,141.3,23.82,18.45191818
01/22/2020,03:25:00 PM,7.07,98.9,23.2,18.65919318
01/22/2020,03:30:00 PM,5.1,73.98,22.49,18.78712955
01/22/2020,03:35:00 PM,5.11,71.25,21.98,19.07631818
01/22/2020,03:40:00 PM,9.82,125.8,22.13,19.09457727
01/22/2020,03:45:00 PM,9.89,132.85,23.24,19.24007727
01/22/2020,03:50:00 PM,9.9,121.62,23.2,19.26279773
01/22/2020,03:55:00 PM,13.54,180.53,23.91,19.17286818
01/22/2020,04:00:00 PM,11.15,141.7,24.19,19.06300682
01/22/2020,04:05:00 PM,10.57,123.45,23.2,18.96055227
01/22/2020,04:10:00 PM,7.79,102.44,22.98,18.989975
01/22/2020,04:15:00 PM,6.72,89.61,22.39,18.90428182
01/22/2020,04:20:00 PM,6.6,93.03,22.02,18.73693182
01/22/2020,04:25:00 PM,5.83,85.01,21.64,18.6682
01/22/2020,04:30:00 PM,5.86,82.85,21.23,18.59544091
01/22/2020,04:35:00 PM,6.22,85.38,21.14,18.65505
01/22/2020,04:40:00 PM,6.91,91.7,20.96,18.69012955
01/22/2020,04:45:00 PM,9.19,115.8,21.17,18.71867273
01/22/2020,04:50:00 PM,12.84,162.87,22.58,18.76400227
01/22/2020,04:55:00 PM,11.27,148.48,23.61,18.79189545
01/22/2020,05:00:00 PM,7.69,103.89,23.22,18.84337045
01/22/2020,05:05:00 PM,5.76,75.49,22.49,18.88339773
01/22/2020,05:10:00 PM,4.73,65.18,21.91,18.90714773
01/22/2020,05:15:00 PM,3.35,53.38,21.23,18.95442045
01/22/2020,05:20:00 PM,2.53,40.8,20.51,19.01175909
01/22/2020,05:25:00 PM,1.1,21.12,19.79,18.92620909
01/22/2020,05:30:00 PM,0.23,8.14,19.07,18.72753636
01/22/2020,05:35:00 PM,0.34,9.2,18.54,18.513325
01/22/2020,05:40:00 PM,0.5,11.8,18.31,18.31685909
01/22/2020,05:45:00 PM,0.11,6.54,18.13,18.13451591
01/22/2020,05:50:00 PM,0.04,4.82,18,17.96729545
01/22/2020,05:55:00 PM,0.12,6.21,17.86,17.78844091
01/22/2020,06:00:00 PM,0.04,4.3,17.82,17.62487273
01/22/2020,06:05:00 PM,0,1.83,17.69,17.49986136
01/22/2020,06:10:00 PM,0,1.25,17.53,17.39889545
01/22/2020,06:15:00 PM,0,1.09,17.38,17.28511591
01/22/2020,06:20:00 PM,0,1.04,17.17,17.14352727
01/22/2020,06:25:00 PM,0,1.04,17.04,16.98422727
01/22/2020,06:30:00 PM,x,1.05,16.9,16.81567727
01/22/2020,06:35:00 PM,x,1.05,16.85,16.64892045
01/22/2020,06:40:00 PM,x,1.05,16.7,16.48135909
01/22/2020,06:45:00 PM,x,1.05,16.32,16.323325
01/22/2020,06:50:00 PM,x,1.05,15.94,16.18787045
01/22/2020,06:55:00 PM,x,1.04,15.86,16.07150682
01/22/2020,07:00:00 PM,x,1.04,15.83,15.95244545
01/22/2020,07:05:00 PM,x,1.04,15.68,15.82883864
01/22/2020,07:10:00 PM,x,1.04,15.64,15.67795909
01/22/2020,07:15:00 PM,x,1.04,15.68,15.54438182
01/22/2020,07:20:00 PM,x,1.04,15.76,15.42080455
01/22/2020,07:25:00 PM,x,1.04,15.59,15.27177273
01/22/2020,07:30:00 PM,x,1.04,15.49,15.10092273
01/22/2020,07:35:00 PM,x,1.04,15.04,14.92825455
01/22/2020,07:40:00 PM,x,1.03,14.85,14.74285909
01/22/2020,07:45:00 PM,x,1.03,14.58,14.54476591
01/22/2020,07:50:00 PM,x,1.02,14.22,14.34121818
01/22/2020,07:55:00 PM,x,1.02,13.95,14.15767045
01/22/2020,08:00:00 PM,x,1.02,13.78,13.96503182
01/22/2020,08:05:00 PM,x,1.02,13.6,13.79239318
01/22/2020,08:10:00 PM,x,1.01,13.5,13.62336136
01/22/2020,08:15:00 PM,x,1.01,13.52,13.448875
01/22/2020,08:20:00 PM,x,1.01,13.57,13.28984318
01/22/2020,08:25:00 PM,x,1.01,13.37,13.147175
01/22/2020,08:30:00 PM,x,1.01,13.14,13.01541591
01/22/2020,08:35:00 PM,x,1.01,12.99,12.91274773
01/22/2020,08:40:00 PM,x,1.01,12.66,12.82005
01/22/2020,08:45:00 PM,x,1,12.47,12.71732273
01/22/2020,08:50:00 PM,x,1,12.38,12.60186818
01/22/2020,08:55:00 PM,x,1,12.33,12.51005
01/22/2020,09:00:00 PM,x,1,12.47,12.44459545
01/22/2020,09:05:00 PM,x,1,12.48,12.37914091
01/22/2020,09:10:00 PM,x,1.01,12.39,12.33189773
01/22/2020,09:15:00 PM,x,1.01,12.3,12.28098864
01/22/2020,09:20:00 PM,x,1.01,12.36,12.21826136
01/22/2020,09:25:00 PM,x,1.01,12.42,12.14553409
01/22/2020,09:30:00 PM,x,1.01,12.27,12.054625
01/22/2020,09:35:00 PM,x,1,12.14,11.99098864
01/22/2020,09:40:00 PM,x,1,11.91,11.92283636
01/22/2020,09:45:00 PM,x,1,11.69,11.84559318
01/22/2020,09:50:00 PM,x,1,11.53,11.77289545
01/22/2020,09:55:00 PM,x,1,11.47,11.71656136
01/22/2020,10:00:00 PM,x,1,11.78,11.68565227
01/22/2020,10:05:00 PM,x,1,11.64,11.68562273
